"","asignacion","ids_twitter"
"627","naim_bro",48029921
"628","naim_bro",1172242720078880768
"629","naim_bro",848604300
"630","naim_bro",1134968923508621312
"631","naim_bro",19401345
"632","naim_bro",17368553
"633","naim_bro",237021339
"634","naim_bro",85833416
"635","naim_bro",65977633
"636","naim_bro",151579473
"637","naim_bro",201493209
"638","naim_bro",2915209630
"639","naim_bro",2770755811
"640","naim_bro",1174365707607400448
"641","naim_bro",1203019336023191552
"642","naim_bro",139699855
"643","naim_bro",257019211
"644","naim_bro",49242579
"645","naim_bro",70193121
"646","naim_bro",705553905
"647","naim_bro",1232167774773968896
"648","naim_bro",437802639
"649","naim_bro",1645711686
"650","naim_bro",808369752011919360
"651","naim_bro",105819805
"652","naim_bro",1388364450
"653","naim_bro",317557307
"654","naim_bro",336378599
"655","naim_bro",1343352475206766592
"656","naim_bro",1267874242655391744
"657","naim_bro",38761985
"658","naim_bro",147270337
"659","naim_bro",450230786
"660","naim_bro",523386042
"661","naim_bro",140034129
"662","naim_bro",552561770
"663","naim_bro",62237307
"664","naim_bro",1103091938536947712
"665","naim_bro",735653023280562176
"666","naim_bro",1377747058690510848
"667","naim_bro",1265730080682246144
"668","naim_bro",1240065597272141824
"669","naim_bro",171613668
"670","naim_bro",70180103
"671","naim_bro",2609027210
"672","naim_bro",3667805554
"673","naim_bro",449228988
"674","naim_bro",1004858015017783296
"675","naim_bro",1026964246754721792
"676","naim_bro",89743138
"677","naim_bro",26678519
"678","naim_bro",1295478036025020416
"679","naim_bro",626849901
"680","naim_bro",86322946
"681","naim_bro",1348691955715350528
"682","naim_bro",57692946
"683","naim_bro",87998282
"684","naim_bro",4901870272
"685","naim_bro",106476438
"686","naim_bro",64263743
"687","naim_bro",42419459
"688","naim_bro",810908580148867072
"689","naim_bro",93228955
"690","naim_bro",1498592971
"691","naim_bro",343063260
"692","naim_bro",2953555581
"693","naim_bro",1063437878334840832
"694","naim_bro",577424135
"695","naim_bro",1419490674
"696","naim_bro",1224209357447057408
"697","naim_bro",835963453244342272
"698","naim_bro",803599615627001856
"699","naim_bro",1262882497622310912
"700","naim_bro",149842156
"701","naim_bro",228374098
"702","naim_bro",176793550
"703","naim_bro",68050614
"704","naim_bro",1193912684519014400
"705","naim_bro",2375813964
"706","naim_bro",100560836
"707","naim_bro",217076745
"708","naim_bro",197291917
"709","naim_bro",509635930
"710","naim_bro",1174572542
"711","naim_bro",1477997820
"712","naim_bro",1233193985352531968
"713","naim_bro",1267536044976635904
"714","naim_bro",916322148251324416
"715","naim_bro",1027715295081914368
"716","naim_bro",99031743
"717","naim_bro",69698533
"718","naim_bro",790693919185047552
"719","naim_bro",105197626
"720","naim_bro",119171494
"721","naim_bro",3875698763
"722","naim_bro",142994399
"723","naim_bro",922989886956765184
"724","naim_bro",150252018
"725","naim_bro",176978882
"726","naim_bro",304702365
"727","naim_bro",59220236
"728","naim_bro",1250871137904529408
"729","naim_bro",123563614
"730","naim_bro",63267548
"731","naim_bro",139633222
"732","naim_bro",900562149902352384
"733","naim_bro",1009830025112313856
"734","naim_bro",360102330
"735","naim_bro",112302835
"736","naim_bro",1382055134595792896
"737","naim_bro",1352713373348200448
"738","naim_bro",49359212
"739","naim_bro",51302459
"740","naim_bro",851293140
"741","naim_bro",454438367
"742","naim_bro",995047983451340800
"743","naim_bro",76839842
"744","naim_bro",707766282
"745","naim_bro",1199027668622233600
"746","naim_bro",101785967
"747","naim_bro",72144370
"748","naim_bro",379182723
"749","naim_bro",1179107288105340928
"750","naim_bro",199460171
"751","naim_bro",776777400
"752","naim_bro",613939277
"753","naim_bro",61019600
"754","naim_bro",1191645733
"755","naim_bro",135183585
"756","naim_bro",761585070662676480
"757","naim_bro",866890928
"758","naim_bro",17558611
"759","naim_bro",133628843
"760","naim_bro",1240038204
"761","naim_bro",168300274
"762","naim_bro",85209682
"763","naim_bro",187184618
"764","naim_bro",842261107
"765","naim_bro",964514671075217408
"766","naim_bro",816824600302678016
"767","naim_bro",69497007
"768","naim_bro",41609477
"769","naim_bro",1092096364861972480
"770","naim_bro",196669887
"771","naim_bro",68286814
"772","naim_bro",1354054686152785920
"773","naim_bro",179736772
"774","naim_bro",1206591896770031616
"775","naim_bro",290569991
"776","naim_bro",123897400
"777","naim_bro",1186466248051380224
"778","naim_bro",153610731
"779","naim_bro",591424209
"780","naim_bro",62677532
"781","naim_bro",1400731236
"782","naim_bro",1379633284255219712
"783","naim_bro",366269128
"784","naim_bro",22195853
"785","naim_bro",1205150923934306304
"786","naim_bro",103951387
"787","naim_bro",3044836354
"788","naim_bro",148445725
"789","naim_bro",1344951
"790","naim_bro",1000216376940916736
"791","naim_bro",361394006
"792","naim_bro",394223948
"793","naim_bro",161505377
"794","naim_bro",34510899
"795","naim_bro",3054738225
"796","naim_bro",13134322
"797","naim_bro",193902107
"798","naim_bro",71148024
"799","naim_bro",88988739
"800","naim_bro",165856380
"801","naim_bro",162742969
"802","naim_bro",1368572199171407872
"803","naim_bro",75926009
"804","naim_bro",246411752
"805","naim_bro",37823310
"806","naim_bro",2766860214
"807","naim_bro",165265931
"808","naim_bro",68555893
"809","naim_bro",1351993060666863616
"810","naim_bro",1635863485
"811","naim_bro",1140765410
"812","naim_bro",1372226548804255744
"813","naim_bro",173195593
"814","naim_bro",523711272
"815","naim_bro",1642960741
"816","naim_bro",1374138747487453184
"817","naim_bro",18831926
"818","naim_bro",1544528706
"819","naim_bro",1110660841127530496
"820","naim_bro",124629218
"821","naim_bro",954540158921183232
"822","naim_bro",155421980
"823","naim_bro",618475442
"824","naim_bro",862083462
"825","naim_bro",1449927013
"826","naim_bro",158801947
"827","naim_bro",1017149755519062016
"828","naim_bro",1241368290808795136
"829","naim_bro",94137926
"830","naim_bro",2603942924
"831","naim_bro",372872792
"832","naim_bro",12055492
"833","naim_bro",872628920205684736
"834","naim_bro",47060782
"835","naim_bro",139747337
"836","naim_bro",482534470
"837","naim_bro",58708032
"838","naim_bro",359741865
"839","naim_bro",1298024706751131648
"840","naim_bro",1197651017527177216
"841","naim_bro",39605350
"842","naim_bro",1277768007469731840
"843","naim_bro",285869835
"844","naim_bro",91913882
"845","naim_bro",57955465
"846","naim_bro",104023663
"847","naim_bro",104800880
"848","naim_bro",289101641
"849","naim_bro",364034759
"850","naim_bro",172154814
"851","naim_bro",15829144
"852","naim_bro",1684121474
"853","naim_bro",592115195
"854","naim_bro",947874744761765888
"855","naim_bro",357186336
"856","naim_bro",1115977562184986624
"857","naim_bro",2624634689
"858","naim_bro",1190041445526319104
"859","naim_bro",58006599
"860","naim_bro",51846336
"861","naim_bro",30838794
"862","naim_bro",1371270447174680576
"863","naim_bro",1350826517736124416
"864","naim_bro",1256598763776466944
"865","naim_bro",1291422713937108992
"866","naim_bro",1276999184705622016
"867","naim_bro",1234829395078078464
"868","naim_bro",3534977237
"869","naim_bro",3030158162
"870","naim_bro",1009114791145766912
"871","naim_bro",2218561764
"872","naim_bro",1299021768091459584
"873","naim_bro",58494628
"874","naim_bro",246574811
"875","naim_bro",2204861268
"876","naim_bro",70318525
"877","naim_bro",1246014412969914368
"878","naim_bro",56768709
"879","naim_bro",1371908117873704960
"880","naim_bro",146945857
"881","naim_bro",17620269
"882","naim_bro",1196270095129022464
"883","naim_bro",4461577049
"884","naim_bro",721390246756282368
"885","naim_bro",821784477076750336
"886","naim_bro",1349154719386775552
"887","naim_bro",803694179079458816
"888","naim_bro",1349149096909668352
"889","naim_bro",213661609
"890","naim_bro",378735337
"891","naim_bro",75799969
"892","naim_bro",61875237
"893","naim_bro",4204976176
"894","naim_bro",84419928
"895","naim_bro",71758708
"896","naim_bro",739242368172445696
"897","naim_bro",4872695524
"898","naim_bro",64464864
"899","naim_bro",100811725
"900","naim_bro",1187751062415036416
"901","naim_bro",103923063
"902","naim_bro",3351459316
"903","naim_bro",2989206437
"904","naim_bro",771464555386040320
"905","naim_bro",2901096508
"906","naim_bro",63976888
"907","naim_bro",65732749
"908","naim_bro",1168711005171519488
"909","naim_bro",831610381
"910","naim_bro",1185724867037057024
"911","naim_bro",77857133
"912","naim_bro",957247031910821888
"913","naim_bro",38328810
"914","naim_bro",1004123929915658240
"915","naim_bro",1189367750545858560
"916","naim_bro",284286057
"917","naim_bro",1515169118
"918","naim_bro",47536586
"919","naim_bro",70923054
"920","naim_bro",761862806
"921","naim_bro",14403273
"922","naim_bro",221019962
"923","naim_bro",3028216467
"924","naim_bro",1144062495897870336
"925","naim_bro",1226928466601357312
"926","naim_bro",359188534
"927","naim_bro",1360413692
"928","naim_bro",2626658949
"929","naim_bro",871426578500247552
"930","naim_bro",67969812
"931","naim_bro",1156626628635705344
"932","naim_bro",610146315
"933","naim_bro",762402774260875264
"934","naim_bro",984153691447054336
"935","naim_bro",554479527
